stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
BA,202.72,14,211.45,122.21999999999986,2021-01-05,2021-01-21
HON,205.23,15,202.25,-44.69999999999985,2021-01-22,2021-01-23
PG,130.0,23,128.38,-37.260000000000105,2021-01-24,2021-01-28
V,198.22,15,193.25,-74.54999999999998,2021-01-29,2021-01-30
GS,271.17,10,293.5,223.29999999999984,2021-01-31,2021-02-06
UNH,324.51,9,332.22,69.39000000000033,2021-02-07,2021-02-28
AAPL,121.26,26,127.79,169.78000000000003,2021-03-01,2021-03-02
CRM,213.47,16,206.0,-119.51999999999998,2021-03-03,2021-03-04
CRM,211.53,15,209.48,-30.75000000000017,2021-03-10,2021-03-19
V,206.9,15,216.86,149.40000000000012,2021-03-20,2021-04-02
GS,323.54,10,338.55,150.0999999999999,2021-04-06,2021-04-16
WBA,53.3,67,52.58,-48.239999999999924,2021-04-17,2021-04-23
PG,131.26,26,137.67,166.6599999999999,2021-04-27,2021-05-11
BA,220.78,16,234.82,224.63999999999987,2021-05-13,2021-05-22
V,226.77,17,234.96,139.22999999999996,2021-05-23,2021-06-13
CAT,220.7,18,219.01,-30.41999999999996,2021-06-14,2021-06-15
JNJ,164.49,24,161.98,-60.240000000000464,2021-06-16,2021-06-19
GS,348.83,11,368.75,219.12000000000018,2021-06-20,2021-06-25
MCD,232.42,18,230.37,-36.89999999999969,2021-06-26,2021-06-30
V,233.82,17,245.99,206.89000000000027,2021-07-01,2021-07-15
BA,217.74,20,206.99,-215.0,2021-07-17,2021-07-20
VZ,55.58,74,55.37,-15.540000000000063,2021-07-21,2021-08-05
VZ,55.22,74,55.01,-15.540000000000063,2021-08-07,2021-08-25
AMGN,221.59,18,220.87,-12.95999999999998,2021-08-26,2021-09-09
AMGN,215.58,19,213.75,-34.77000000000024,2021-09-10,2021-09-11
MMM,184.55,22,182.42,-46.860000000000525,2021-09-12,2021-09-15
BA,213.36,18,209.5,-69.48000000000025,2021-09-17,2021-09-21
GS,375.84,10,391.86,160.2000000000004,2021-09-22,2021-09-24
KO,53.89,76,53.61,-21.280000000000086,2021-09-26,2021-09-28
NKE,145.3,28,151.85,183.39999999999952,2021-09-29,2021-10-08
VZ,53.24,80,52.18,-84.80000000000018,2021-10-09,2021-10-12
KO,54.23,77,53.94,-22.329999999999934,2021-10-13,2021-10-19
IBM,122.57619612,33,122.14637232,-14.184185400000274,2021-10-22,2021-10-23
BA,212.97,19,207.03,-112.85999999999996,2021-10-24,2021-11-01
TRV,158.82,25,156.5,-57.99999999999983,2021-11-03,2021-11-05
AAPL,147.92,26,157.87,258.70000000000044,2021-11-11,2021-11-19
TRV,152.53,27,160.26,208.70999999999972,2021-11-20,2021-11-24
MMM,177.63,25,175.52,-52.74999999999963,2021-11-25,2021-11-28
AMGN,201.09,21,198.88,-46.41000000000017,2021-11-29,2021-12-01
GS,376.48,11,400.11,259.92999999999995,2021-12-02,2021-12-08
NKE,168.1,27,165.4,-72.8999999999997,2021-12-10,2021-12-15
CRM,253.12,17,247.21,-100.46999999999994,2021-12-17,2021-12-21
