stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
BA,214.06,14,214.06,0.0,2021-01-01,2021-01-04
BA,202.72,14,211.63,124.73999999999995,2021-01-05,2021-01-06
MSFT,212.25,14,218.29,84.55999999999989,2021-01-07,2021-01-08
JNJ,160.04,20,159.37,-13.39999999999975,2021-01-09,2021-01-12
INTC,56.95,56,59.25,128.79999999999984,2021-01-14,2021-01-15
CRM,213.14,15,213.14,0.0,2021-01-16,2021-01-19
PG,133.6,24,131.93,-40.0799999999997,2021-01-20,2021-01-21
HON,205.23,16,202.25,-47.679999999999836,2021-01-22,2021-01-23
V,202.02,16,200.98,-16.640000000000327,2021-01-24,2021-01-26
HON,201.06,16,199.38,-26.88000000000011,2021-01-27,2021-01-28
V,198.22,16,193.25,-79.51999999999998,2021-01-29,2021-01-30
V,193.25,16,198.36,81.76000000000022,2021-01-31,2021-02-02
PG,128.79,24,129.17,9.11999999999989,2021-02-03,2021-02-09
HD,276.77,11,278.69,21.120000000000175,2021-02-10,2021-02-11
PG,128.33,25,127.62,-17.7500000000002,2021-02-12,2021-02-13
VZ,54.2,59,54.15,-2.9500000000002515,2021-02-14,2021-02-17
AXP,128.56,24,135.95,177.35999999999967,2021-02-18,2021-02-23
JNJ,160.44,21,162.59,45.15000000000012,2021-02-24,2021-02-25
HD,255.25,13,258.34,40.169999999999675,2021-02-26,2021-02-27
AAPL,121.26,28,127.79,182.84000000000003,2021-02-28,2021-03-02
CRM,213.47,17,211.96,-25.669999999999845,2021-03-03,2021-03-11
VZ,55.51,65,55.63,7.800000000000296,2021-03-12,2021-03-15
WMT,133.43,27,132.28,-31.050000000000153,2021-03-16,2021-03-18
WMT,130.01,27,131.74,46.71000000000049,2021-03-19,2021-03-20
V,206.9,17,213.53,112.70999999999992,2021-03-21,2021-03-27
GS,327.39,11,325.73,-18.25999999999965,2021-03-28,2021-03-30
MRK,76.96,48,77.09,6.240000000000464,2021-03-31,2021-04-03
KO,52.51,71,52.81,21.300000000000303,2021-04-04,2021-04-06
CVX,103.58,36,102.92,-23.759999999999877,2021-04-07,2021-04-11
WBA,54.18,69,54.7,35.880000000000216,2021-04-12,2021-04-13
NKE,133.54,28,132.26,-35.84000000000003,2021-04-14,2021-04-15
JNJ,160.39,23,162.24,42.55000000000052,2021-04-16,2021-04-17
WBA,53.3,71,53.02,-19.879999999999576,2021-04-18,2021-04-25
PG,133.94,28,131.26,-75.04000000000019,2021-04-26,2021-04-27
CSCO,51.37,71,51.11,-18.45999999999986,2021-04-28,2021-04-29
AAPL,133.48,27,131.46,-54.53999999999951,2021-04-30,2021-05-01
CVX,103.07,35,106.11,106.40000000000022,2021-05-02,2021-05-05
CRM,215.4,17,218.05,45.0500000000001,2021-05-06,2021-05-07
CRM,216.5,17,213.89,-44.37000000000023,2021-05-08,2021-05-11
TRV,156.69,23,153.75,-67.61999999999995,2021-05-12,2021-05-13
CRM,211.86,17,221.34,161.15999999999983,2021-05-14,2021-05-20
VZ,56.79,67,56.91,8.039999999999829,2021-05-21,2021-05-24
HD,314.84,12,316.75,22.9200000000003,2021-05-25,2021-05-26
AMGN,238.55,16,235.31,-51.840000000000146,2021-05-27,2021-05-28
HD,318.91,11,311.01,-86.90000000000038,2021-05-29,2021-06-05
JNJ,165.97,22,164.84,-24.8599999999999,2021-06-06,2021-06-08
WMT,139.83,26,139.08,-19.5,2021-06-09,2021-06-10
CAT,225.73,16,220.7,-80.48000000000002,2021-06-11,2021-06-12
CAT,220.7,16,208.86,-189.4399999999996,2021-06-13,2021-06-21
CAT,213.21,15,219.34,91.94999999999993,2021-06-22,2021-06-25
MCD,232.42,15,231.09,-19.94999999999976,2021-06-26,2021-06-29
BA,235.76,14,239.56,53.20000000000016,2021-06-30,2021-07-01
CAT,216.71,16,217.76,16.799999999999727,2021-07-02,2021-07-06
AMGN,243.65,14,243.22,-6.0200000000000955,2021-07-07,2021-07-08
TRV,148.52,23,153.33,110.63000000000005,2021-07-09,2021-07-10
MRK,77.99,46,77.55,-20.239999999999895,2021-07-11,2021-07-13
BA,228.2,15,222.54,-84.89999999999995,2021-07-14,2021-07-22
MMM,199.07,17,200.49,24.14000000000027,2021-07-23,2021-07-24
AXP,173.18,20,172.61,-11.399999999999864,2021-07-25,2021-07-27
WBA,46.82,75,47.11,21.749999999999936,2021-07-28,2021-07-29
AMGN,242.46,14,233.99,-118.57999999999998,2021-07-30,2021-08-06
